Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Torsten, Founder of Benalia","Torsten, Founder of Benalia","Dominaria united collectors ","Dominaria United Commander","DMC","47","$0.69","$0.69","","1x","","","","M","Legendary Creature — Human Soldier","7","{5}{G}{W}","White/Green","""""","597923","""When Torsten, Founder of Benalia enters the battlefield, reveal the top seven cards of your library. Put any number of creature and/or land cards from among them into your hand and the rest on the bottom of your library in a random order.
When Torsten dies, create seven 1/1 white Soldier creature tokens.""","7","7","0","USD","0783b426-a527-42c1-9271-be28b229e1c6","283116","5759573","","Volkan Baǵa","dmc"
"Vesuvan Duplimancy","Vesuvan Duplimancy","Dominaria united collectors ","Dominaria United","DMU","73","$2.99","$2.99","Foil","1x","","","","M","Enchantment","4","{3}{U}","Blue","""• The triggered ability of Vesuvan Duplimancy triggers only if you cast a spell that targets a single artifact or a single creature and nothing else. The ability will resolve before the spell that caused it to trigger, and a token will be created even if the spell you cast was countered or permanent it was targeting is now an illegal target.
• If the target of the spell leaves the battlefield before the triggered ability resolves, use its characteristics as it last existed on the battlefield to determine the characteristics of the token created.
• If the target of the spell is changed after the triggered ability is put on the stack, the token that is created is a copy of the spell’s original target, not the new target.
• The token copies exactly what was printed on the original artifact or creature and nothing else (unless that permanent is copying something else or is a token; see below). It doesn’t copy whether that permanent is tapped or untapped, whether it has any counters on it or Auras and Equipment attached to it, or any non-copy effects that have changed its power, toughness, types, color, and so on.
• The token isn’t legendary, and this exception is copiable. If something else copies the token later, that copy also won’t be legendary. If you control two or more permanents with the same name but only one is legendary, the “legend rule” doesn’t apply.
• If the copied permanent has {X} in its mana cost, X is considered to be 0.
• If the copied permanent is a token, the token that’s created copies the original characteristics of that token as stated by the effect that created that token.
• If the copied permanent is copying something else (for example, if the copied creature is a Clone), then the token enters the battlefield as whatever that permanent copied.
• Any enters-the-battlefield abilities of the copied permanent will trigger when the token enters the battlefield. Any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities of the copied permanent will also work.""","574553","""Whenever you cast a spell that targets only a single artifact or creature you control, create a token that's a copy of that artifact or creature, except it's not legendary.""","0","0","0","USD","9a2119bc-a377-4156-89d4-56e7b5b494a8","283456","5771640","","Wylie Beckert","dmu"
"Adarkar Wastes","Adarkar Wastes","Dominaria united collectors ","Dominaria United","DMU","377","$3.63","$3.63","","1x","","","","R","Land","0","","Land","""""","577363","""{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.""","0","0","0","USD","ed5764bd-712b-4e6b-b71e-5767d5613b1c","282753","5742801","","Rob Alexander","dmu"
"Ayesha Tanaka, Armorer","Ayesha Tanaka, Armorer","Dominaria united collectors ","Dominaria United Commander","DMC","29","$0.30","$0.30","","1x","","","","R","Legendary Creature — Human Artificer","5","{3}{W}{U}","White/Blue","""• Ayesha’s power is checked only once, as the triggered ability resolves. If it is no longer on the battlefield at that point, use its power as it last existed on the battlefield.
• Each of the artifact cards needs to have mana value less than or equal to Ayesha’s Power. It’s not the total mana value of all the artifact cards.""","597905","""Whenever Ayesha Tanaka, Armorer attacks, look at the top four cards of your library. You may put any number of artifact cards with mana value less than or equal to Ayesha's power from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.
Ayesha can't be blocked as long as defending player controls three or more artifacts.""","2","4","0","USD","dab74812-89c9-42e2-8b9d-bf5b35a7cf7e","283050","5784276","","Aurore Folny","dmc"
"Bladewing, Deathless Tyrant","Bladewing, Deathless Tyrant","Dominaria united collectors ","Dominaria United Commander","DMC","85","$2.06","$2.06","","1x","","","","R","Legendary Creature — Dragon Skeleton","7","{5}{B}{R}","Black/Red","""• The number of creature cards in your graveyard is determined at the time the triggered ability resolves. If any creature cards are in your graveyard as a result of dying in the same combat damage step that the ability triggered in, they will be counted.""","580317","""Flying, haste
Whenever Bladewing, Deathless Tyrant deals combat damage to a player or planeswalker, for each creature card in your graveyard, create a 2/2 black Zombie Knight creature token with menace.""","6","6","0","USD","f50b5176-181f-4109-a6d5-85e9338cc754","283229","5765737","","Antonio José Manzanedo","dmc"
"Braids, Arisen Nightmare","Braids, Arisen Nightmare","Dominaria united collectors ","Dominaria United","DMU","288","$3.04","$3.04","Foil","1x","","","","R","Legendary Creature — Nightmare","3","{1}{B}{B}","Black","""• If the permanent that you sacrifice as you resolve Braids’s triggered ability has more than one card type, each opponent may choose to sacrifice any permanent they control that shares any card type with it. For example, if the permanent you sacrifice is an artifact creature, one opponent might choose to sacrifice an artifact and another opponent might choose to sacrifice a creature.""","578041","""At the beginning of your end step, you may sacrifice an artifact, creature, enchantment, land, or planeswalker. If you do, each opponent may sacrifice a permanent that shares a card type with it. For each opponent who doesn't, that player loses 2 life and you draw a card.""","3","3","0","USD","f2559ff7-a97c-40c6-942f-36998eafb050","282759","5743216","","Dibujante Nocturno","dmu"
"Danitha, Benalia's Hope","Danitha, Benalia's Hope","Dominaria united collectors ","Dominaria United","DMU","287","$0.35","$0.35","","1x","","","","R","Legendary Creature — Human Knight","5","{4}{W}","White","""• If you attempt to put an Aura onto the battlefield this way and Danitha is no longer on the battlefield or that Aura can’t legally be attached to Danitha, that Aura does not enter the battlefield at all. Instead, it will stay in its previous zone.
• Conversely, if you attempt to put a non-Aura Equipment onto the battlefield this way and Danitha is no longer on the battlefield or that Equipment can’t legally be attached to Danitha, that Equipment will enter the battlefield unattached.""","578040","""First strike, vigilance, lifelink
When Danitha, Benalia's Hope enters the battlefield, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.""","4","4","0","USD","1d9609d8-4dcf-4b70-b947-a4d62275f34a","283386","5768301","","Barbara Rosiak","dmu"
"Danitha, Benalia's Hope","Danitha, Benalia's Hope","Dominaria united collectors ","Dominaria United","DMU","287","$0.40","$0.40","Foil","1x","","","","R","Legendary Creature — Human Knight","5","{4}{W}","White","""• If you attempt to put an Aura onto the battlefield this way and Danitha is no longer on the battlefield or that Aura can’t legally be attached to Danitha, that Aura does not enter the battlefield at all. Instead, it will stay in its previous zone.
• Conversely, if you attempt to put a non-Aura Equipment onto the battlefield this way and Danitha is no longer on the battlefield or that Equipment can’t legally be attached to Danitha, that Equipment will enter the battlefield unattached.""","578040","""First strike, vigilance, lifelink
When Danitha, Benalia's Hope enters the battlefield, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.""","4","4","0","USD","1d9609d8-4dcf-4b70-b947-a4d62275f34a","283386","5768306","","Barbara Rosiak","dmu"
"Defiler of Dreams","Defiler of Dreams","Dominaria united collectors ","Dominaria United","DMU","393","$0.80","$0.80","","1x","","","","R","Creature — Phyrexian Sphinx","5","{3}{U}{U}","Blue","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","577508","""Flying
As an additional cost to cast blue permanent spells, you may pay 2 life. Those spells cost {U} less to cast if you paid life this way. This effect reduces only the amount of blue mana you pay.
Whenever you cast a blue permanent spell, draw a card.""","4","3","0","USD","8640da59-6ff1-4171-9723-5ef56dc59fbc","282878","5750311","","Ryan Pancoast","dmu"
"Defiler of Dreams","Defiler of Dreams","Dominaria united collectors ","Dominaria United","DMU","393","$0.97","$0.97","Foil","1x","","","","R","Creature — Phyrexian Sphinx","5","{3}{U}{U}","Blue","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","577508","""Flying
As an additional cost to cast blue permanent spells, you may pay 2 life. Those spells cost {U} less to cast if you paid life this way. This effect reduces only the amount of blue mana you pay.
Whenever you cast a blue permanent spell, draw a card.""","4","3","0","USD","8640da59-6ff1-4171-9723-5ef56dc59fbc","282878","5750316","","Ryan Pancoast","dmu"
"Defiler of Faith","Defiler of Faith","Dominaria united collectors ","Dominaria United","DMU","385","$1.05","$1.05","","1x","","","","R","Creature — Phyrexian Human","5","{3}{W}{W}","White","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","577500","""Vigilance
As an additional cost to cast white permanent spells, you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay.
Whenever you cast a white permanent spell, create a 1/1 white Soldier creature token.""","5","5","0","USD","f1fa16ec-b4ab-4da8-a1fa-cf6c303edc7a","283129","5760493","","Magali Villeneuve","dmu"
"Defiler of Flesh","Defiler of Flesh","Dominaria united collectors ","Dominaria United","DMU","400","$0.99","$0.99","Foil","1x","","","","R","Creature — Phyrexian Horror","4","{2}{B}{B}","Black","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","577515","""Menace
As an additional cost to cast black permanent spells, you may pay 2 life. Those spells cost {B} less to cast if you paid life this way. This effect reduces only the amount of black mana you pay.
Whenever you cast a black permanent spell, target creature you control gets +1/+1 and gains menace until end of turn.""","4","4","0","USD","2c27d94e-7dc8-45b4-aac6-b30a677b8ad5","283444","5770770","","Mathias Kollros","dmu"
"Defiler of Instinct","Defiler of Instinct","Dominaria united collectors ","Dominaria United","DMU","119","$0.75","$0.75","Foil","1x","","","","R","Creature — Phyrexian Kavu","4","{2}{R}{R}","Red","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","574599","""First strike
As an additional cost to cast red permanent spells, you may pay 2 life. Those spells cost {R} less to cast if you paid life this way. This effect reduces only the amount of red mana you pay.
Whenever you cast a red permanent spell, Defiler of Instinct deals 1 damage to any target.""","4","4","0","USD","0e76e0cc-caff-4b15-b550-39e2324c8c95","283603","5776268","","Steven Belledin","dmu"
"Defiler of Vigor","Defiler of Vigor","Dominaria united collectors ","Dominaria United","DMU","412","$3.22","$3.22","","1x","","","","R","Creature — Phyrexian Wurm","5","{3}{G}{G}","Green","""• You may only pay the additional cost once per permanent spell.
• Some players may make the mental shortcut that the Defilers effectively turn one of the colored mana symbols in the spell’s cost into a Phyrexian colored mana symbol. Despite the similarity in function, this ability does not cause the spells to have Phyrexian mana symbols in their costs. Sorry, Rage Extractor!""","577527","""Trample
As an additional cost to cast green permanent spells, you may pay 2 life. Those spells cost {G} less to cast if you paid life this way. This effect reduces only the amount of green mana you pay.
Whenever you cast a green permanent spell, put a +1/+1 counter on each creature you control.""","6","6","0","USD","d644ec3b-fa6e-4642-8367-35a3ba1f88de","283204","5764977","","Chase Stone","dmu"
"Drag to the Bottom","Drag to the Bottom","Dominaria united collectors ","Dominaria United","DMU","91","$0.30","$0.30","Foil","1x","","","","R","Sorcery","4","{2}{B}{B}","Black","""• Domain abilities count the number of basic land types among lands you control, not how many lands you control or how many of any type.
• The basic land types are Plains, Island, Swamp, Mountain, and Forest. Land types other than basic land types (such as Desert) don’t contribute to domain abilities.""","574571","""Domain — Each creature gets -X/-X until end of turn, where X is 1 plus the number of basic land types among lands you control.""","0","0","0","USD","9d243099-94b1-4571-96af-4c5a34241911","283409","5769160","","Nino Is","dmu"
"Ertai Resurrected","Ertai Resurrected","Dominaria united collectors ","Dominaria United","DMU","298","$0.40","$0.40","","1x","","","","R","Legendary Creature — Phyrexian Human Wizard","4","{2}{U}{B}","Blue/Black","""• Activated abilities are written in the form “Cost: Effect.” Some keyword abilities, such as equip and crew, are activated abilities and will have colons in their reminder texts.
• Triggered abilities use the word “when,” “whenever,” or “at.” They’re often written as “[Trigger condition], [effect].” Some keyword abilities, such as prowess and fabricate, are triggered abilities and will have “when,” “whenever,” or “at” in their reminder text.
• If you counter a delayed triggered ability that triggers at the beginning of the “next” occurrence of a specified step or phase, that ability won’t trigger again the following time that phase or step occurs.
• Abilities that create replacement effects, such as a permanent entering the battlefield tapped or with counters on it, can’t be targeted. Abilities that apply “as [this creature] enters the battlefield” are also replacement effects and can’t be targeted. Similarly, the replacement effect that prevents a creature with a stun counter on it from untapping can’t be countered.""","578051","""Flash
When Ertai Resurrected enters the battlefield, choose up to one —
• Counter target spell, activated ability, or triggered ability. Its controller draws a card.
• Destroy another target creature or planeswalker. Its controller draws a card.""","3","2","0","USD","b2185d26-05b7-4e8b-ab0a-4f9d1541d4c5","283670","5781385","","Justin Hernandez & Alexis Hernandez","dmu"
"Fallaji Wayfarer","Fallaji Wayfarer","Dominaria united collectors ","Dominaria United Commander","DMC","87","$4.30","$4.30","","1x","","","","R","Creature — Human Scout","3","{2}{G}","White/Blue/Black/Red/Green","""• Fallaji Wayfarer’s color identity is green. It may be included in any commander deck where the commander’s color identity includes green.
• The first ability of Fallaji Wayfarer functions in all zones. For example, you may find Fallaji Wayfarer while searching your library if an effect instructs you to search your library for a multicolored card.""","580319","""Fallaji Wayfarer is all colors. This ability doesn't affect its color identity. (It can be in any deck whose commander's color identity includes green.)
Multicolored spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a multicolored spell pays for {1} or one mana of a color that creature is.)""","2","4","0","USD","0e8435c6-94d4-4204-a196-ececb38a8c61","283225","5765652","","Victor Adame Minguez","dmc"
"Hazezon, Shaper of Sand","Hazezon, Shaper of Sand","Dominaria united collectors ","Dominaria United Commander","DMC","32","$0.40","$0.40","","1x","","","","R","Legendary Creature — Human Warrior","3","{R}{G}{W}","White/Red/Green","""• Hazezon doesn’t change the times when you can play those land cards. You can still play only one land per turn, and only during your main phase when you have priority and the stack is empty.
• Hazezon doesn’t allow you to activate abilities (such as cycling) of land cards in your graveyard.""","597908","""Desertwalk (This creature can't be blocked as long as defending player controls a Desert.)
You may play Desert lands from your graveyard.
Whenever a Desert enters the battlefield under your control, create two 1/1 red, green, and white Sand Warrior creature tokens.""","3","3","0","USD","25869cd0-63da-4dfb-8870-221cdba276e2","283101","5759468","","Bryan Sola","dmc"
"Hazezon, Shaper of Sand","Hazezon, Shaper of Sand","Dominaria united collectors ","Dominaria United Commander","DMC","54","$0.50","$0.50","Foil","1x","","","","R","Legendary Creature — Human Warrior","3","{R}{G}{W}","White/Red/Green","""• Hazezon doesn’t change the times when you can play those land cards. You can still play only one land per turn, and only during your main phase when you have priority and the stack is empty.
• Hazezon doesn’t allow you to activate abilities (such as cycling) of land cards in your graveyard.""","0","""Desertwalk (This creature can't be blocked as long as defending player controls a Desert.)
You may play Desert lands from your graveyard.
Whenever a Desert enters the battlefield under your control, create two 1/1 red, green, and white Sand Warrior creature tokens.""","3","3","0","USD","b406271c-7fca-4003-a011-752117e5ba4e","283102","5759048","","Bryan Sola","dmc"
"Historian's Boon","Historian's Boon","Dominaria united collectors ","Dominaria United Commander","DMC","71","$3.00","$3.00","Foil","1x","","","","R","Enchantment","4","{3}{W}","White","""• The final chapter ability of a Saga is the ability with the greatest chapter number among chapter abilities that Saga has.""","580393","""Whenever Historian's Boon or another nontoken enchantment enters the battlefield under your control, create a 1/1 white Soldier creature token.
Whenever the final chapter ability of a Saga you control triggers, create a 4/4 white Angel creature token with flying and vigilance.""","0","0","0","USD","258218d2-87a1-4d50-ad87-1b1b086e37be","283658","5780440","","Irina Nordsol","dmc"
"Ivy, Gleeful Spellthief","Ivy, Gleeful Spellthief","Dominaria united collectors ","Dominaria United","DMU","201","$0.80","$0.80","Foil","1x","","","","R","Legendary Creature — Faerie Rogue","2","{G}{U}","Blue/Green","""• The second ability triggers whenever a player casts a spell that targets only one creature and no other object or player. It doesn’t matter who controls the creature.
• If a spell has multiple targets but all of them are the same creature, Ivy, Gleeful Spellthief’s second ability will trigger.
• The copy is created even if the spell that caused the ability to trigger has been countered by the time the ability resolves. The copy resolves before the original spell.
• If Ivy, Gleeful Spellthief isn’t a legal target for the spell, no copy can be created.
• The copy that Ivy, Gleeful Spellthief’s second ability creates is created on the stack, so it’s not “cast.” Other abilities that trigger when a player casts a spell won’t trigger.
• If the spell that’s copied is modal (that is, it says “Choose one —” or the like), the copy will have the same mode. You can’t choose a different one.
• If the spell that’s copied has an X whose value was determined as it was cast, the copy has the same value of X.
• The controller of a copy can’t choose to pay any additional costs for the copy. However, effects based on any additional costs that were paid for the original spell are copied as though those same costs were paid for the copy too. Notably, if the spell you copy was kicked, the copies will also be kicked.""","574681","""Flying
Whenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)""","2","1","0","USD","d94c15b7-6c8f-45a6-8734-975e3e3b790c","283316","5766934","","Evyn Fong","dmu"
